times,flux,raw_flux,rawraw_flux,obs_vr,obs_vw,obs_vn,dsun_obs,rsun_obs
2456082.528596065,1.000006843892461,0.9983421939805668,567771856896.0,2229.635262,28416.320643,5935.003843,151763391641.85,945.951477
2456082.5291168983,0.999973195063532,0.9983161707517534,567756324864.0,2229.144444,28425.809529,5938.350136,151763491965.3,945.950867
2456082.5296377316,0.999941968763228,0.998292684748549,567742234624.0,2228.631652,28435.306442,5941.673499,151763592266.13,945.950256
2456082.530158565,0.9999479554694399,0.9983066481871282,567749443584.0,2228.098288,28444.810113,5944.971921,151763692543.26,945.949646
2456082.530679398,0.9999438659507933,0.998310253948549,567750688768.0,2227.543687,28454.320972,5948.245716,151763792796.05,945.948975
2456082.5312002315,0.9999547064902704,0.998328944234546,567760584704.0,2226.967554,28463.839261,5951.495219,151763893023.47,945.948364
2456082.531721065,0.9999819985281957,0.9983638807608591,567779721216.0,2226.370686,28473.364893,5954.721677,151763993224.45,945.947754
2456082.532241898,0.9999855650010124,0.9983753091621375,567785488384.0,2225.752585,28482.896549,5957.923102,151764093397.91,945.947144
2456082.5327627314,1.000006681600367,0.9984041404134677,567801151488.0,2225.113098,28492.435159,5961.099868,151764193543.22,945.946533
2456082.5332835647,1.000006520231011,0.9984115491419542,567804559360.0,2224.452125,28501.981095,5964.252192,151764293659.34,945.945862
2456082.533804398,1.0000040828281882,0.9984171026817027,567806984192.0,2223.770106,28511.532788,5967.3805,151764393745.2,945.945251
2456082.5343252313,1.0000287708576416,0.9984496195713776,567824744448.0,2223.066909,28521.090711,5970.484631,151764493799.74,945.944641
2456082.5348460646,1.0000068932042683,0.9984354655173125,567815962624.0,2222.342907,28530.654977,5973.56424,151764593822.31,945.944031
2456082.535366898,0.9999892979965636,0.9984257060839158,567809605632.0,2221.598112,28540.225778,5976.619016,151764693811.88,945.943359
2456082.5358877317,0.9999929718598063,0.998437480377392,567815569408.0,2220.830997,28549.803294,5979.649144,151764793767.38,945.942749
2456082.536408565,0.9999920449543581,0.9984441842475865,567818649600.0,2220.043294,28559.385596,5982.655053,151764893687.76,945.942139
2456082.5369293983,0.9999940613001072,0.9984538864258017,567823433728.0,2219.234806,28568.974216,5985.636449,151764993572.35,945.941528
2456082.5374502316,0.9999773106934482,0.9984451484593394,567817732096.0,2218.405268,28578.569756,5988.593062,151765093420.14,945.940918
